src,dst,w
2,3663,1.0
2,4048,1.0
2,2769,1.0
3,1283,1.0
3,4,1.0
3,389,1.0
3,1158,1.0
3,1287,1.0
3,8,1.0
3,393,1.0
3,1162,1.0
3,1291,1.0
3,12,1.0
3,397,1.0
3,1166,1.0
3,1295,1.0
3,16,1.0
3,401,1.0
3,1170,1.0
3,1603,1.0
3,1988,1.0
3,709,1.0
3,838,1.0
3,1607,1.0
3,1992,1.0
3,713,1.0
3,842,1.0
3,1611,1.0
3,1996,1.0
3,717,1.0
3,846,1.0
3,1615,1.0
3,2000,1.0
3,721,1.0
3,850,1.0
3,2307,1.0
3,3076,1.0
3,3461,1.0
3,2182,1.0
3,2311,1.0
3,3080,1.0
3,3465,1.0
3,2186,1.0
3,2315,1.0
3,3084,1.0
3,3469,1.0
3,2190,1.0
3,2319,1.0
3,3088,1.0
3,3473,1.0
3,2194,1.0
3,2627,1.0
3,3012,1.0
3,3781,1.0
3,3910,1.0
3,2631,1.0
3,3016,1.0
3,3785,1.0
3,3914,1.0
3,2635,1.0
3,3020,1.0
3,3789,1.0
3,3918,1.0
3,2639,1.0
3,3024,1.0
3,3793,1.0
3,3922,1.0
4,4,1.0
4,389,1.0
4,1158,1.0
4,1287,1.0
4,8,1.0
4,393,1.0
4,1162,1.0
4,1291,1.0
4,12,1.0
4,397,1.0
4,1166,1.0
4,1295,1.0
4,16,1.0
4,401,1.0
4,1170,1.0
4,1299,1.0
4,964,1.0
4,1733,1.0
4,1862,1.0
4,583,1.0
4,968,1.0
4,1737,1.0
4,1866,1.0
4,587,1.0
4,972,1.0
4,1741,1.0
4,1870,1.0
4,591,1.0
4,976,1.0
4,1745,1.0
4,1874,1.0
4,595,1.0
4,3076,1.0
4,3461,1.0
4,2182,1.0
4,2311,1.0
4,3080,1.0
4,3465,1.0
4,2186,1.0
4,2315,1.0
4,3084,1.0
4,3469,1.0
4,2190,1.0
4,2319,1.0
4,3088,1.0
4,3473,1.0
4,2194,1.0
4,2323,1.0
4,4036,1.0
4,2757,1.0
4,2886,1.0
4,3655,1.0
4,4040,1.0
4,2761,1.0
4,2890,1.0
4,3659,1.0
4,4044,1.0
4,2765,1.0
4,2894,1.0
4,3663,1.0
4,4048,1.0
4,2769,1.0
4,2898,1.0
4,3667,1.0
5,389,1.0
5,1158,1.0
5,1287,1.0
5,8,1.0
5,393,1.0
5,1162,1.0
5,1291,1.0
5,12,1.0
5,397,1.0
5,1166,1.0
5,1295,1.0
5,16,1.0
5,401,1.0
5,1170,1.0
5,1299,1.0
5,20,1.0
5,709,1.0
5,838,1.0
5,1607,1.0
5,1992,1.0
5,713,1.0
5,842,1.0
5,1611,1.0
5,1996,1.0
5,717,1.0
5,846,1.0
5,1615,1.0
5,2000,1.0
5,721,1.0
5,850,1.0
5,1619,1.0
5,2004,1.0
5,3461,1.0
5,2182,1.0
5,2311,1.0
5,3080,1.0
5,3465,1.0
5,2186,1.0
5,2315,1.0
5,3084,1.0
5,3469,1.0
5,2190,1.0
5,2319,1.0
5,3088,1.0
5,3473,1.0
5,2194,1.0
5,2323,1.0
5,3092,1.0
5,3781,1.0
5,3910,1.0
5,2631,1.0
5,3016,1.0
5,3785,1.0
5,3914,1.0
5,2635,1.0
5,3020,1.0
5,3789,1.0
5,3918,1.0
5,2639,1.0
5,3024,1.0
5,3793,1.0
5,3922,1.0
5,2643,1.0
5,3028,1.0
6,1158,1.0
6,1287,1.0
6,8,1.0
6,393,1.0
6,1162,1.0
6,1291,1.0
6,12,1.0
6,397,1.0
6,1166,1.0
6,1295,1.0
6,16,1.0
6,401,1.0
6,1170,1.0
6,1299,1.0
6,20,1.0
6,405,1.0
6,1862,1.0
6,583,1.0
6,968,1.0
6,1737,1.0
6,1866,1.0
6,587,1.0
6,972,1.0
6,1741,1.0
6,1870,1.0
6,591,1.0
6,976,1.0
6,1745,1.0
6,1874,1.0
6,595,1.0
6,980,1.0
6,1749,1.0
6,2182,1.0
6,2311,1.0
6,3080,1.0
6,3465,1.0
6,2186,1.0
6,2315,1.0
6,3084,1.0
6,3469,1.0
6,2190,1.0
6,2319,1.0
6,3088,1.0
6,3473,1.0
6,2194,1.0
6,2323,1.0
6,3092,1.0
6,3477,1.0
6,2886,1.0
6,3655,1.0
6,4040,1.0
6,2761,1.0
6,2890,1.0
6,3659,1.0
6,4044,1.0
6,2765,1.0
6,2894,1.0
6,3663,1.0
6,4048,1.0
6,2769,1.0
6,2898,1.0
6,3667,1.0
6,4052,1.0
6,2773,1.0
7,1287,1.0
7,8,1.0
7,393,1.0
7,1162,1.0
7,1291,1.0
7,12,1.0
7,397,1.0
7,1166,1.0
7,1295,1.0
7,16,1.0
7,401,1.0
7,1170,1.0
7,1299,1.0
7,20,1.0
7,405,1.0
7,1174,1.0
7,1607,1.0
7,1992,1.0
7,713,1.0
7,842,1.0
7,1611,1.0
7,1996,1.0
7,717,1.0
7,846,1.0
7,1615,1.0
7,2000,1.0
7,721,1.0
7,850,1.0
7,1619,1.0
7,2004,1.0
7,725,1.0
7,854,1.0
7,2311,1.0
7,3080,1.0
7,3465,1.0
7,2186,1.0
7,2315,1.0
7,3084,1.0
7,3469,1.0
7,2190,1.0
7,2319,1.0
7,3088,1.0
7,3473,1.0
7,2194,1.0
7,2323,1.0
7,3092,1.0
7,3477,1.0
7,2198,1.0
7,2631,1.0
7,3016,1.0
7,3785,1.0
7,3914,1.0
7,2635,1.0
7,3020,1.0
7,3789,1.0
7,3918,1.0
7,2639,1.0
7,3024,1.0
7,3793,1.0
7,3922,1.0
7,2643,1.0
7,3028,1.0
7,3797,1.0
7,3926,1.0
8,8,1.0
8,393,1.0
8,1162,1.0
8,1291,1.0
8,12,1.0
8,397,1.0
8,1166,1.0
8,1295,1.0
8,16,1.0
8,401,1.0
8,1170,1.0
8,1299,1.0
8,20,1.0
8,405,1.0
8,1174,1.0
8,1303,1.0
8,968,1.0
8,1737,1.0
8,1866,1.0
8,587,1.0
8,972,1.0
8,1741,1.0
8,1870,1.0
8,591,1.0
8,976,1.0
8,1745,1.0
8,1874,1.0
8,595,1.0
8,980,1.0
8,1749,1.0
8,1878,1.0
8,599,1.0
8,3080,1.0
8,3465,1.0
8,2186,1.0
8,2315,1.0
8,3084,1.0
8,3469,1.0
8,2190,1.0
8,2319,1.0
8,3088,1.0
8,3473,1.0
8,2194,1.0
8,2323,1.0
8,3092,1.0
8,3477,1.0
8,2198,1.0
8,2327,1.0
8,4040,1.0
8,2761,1.0
8,2890,1.0
8,3659,1.0
8,4044,1.0
8,2765,1.0
8,2894,1.0
8,3663,1.0
8,4048,1.0
8,2769,1.0
8,2898,1.0
8,3667,1.0
8,4052,1.0
8,2773,1.0
8,2902,1.0
8,3671,1.0
9,393,1.0
9,1162,1.0
9,1291,1.0
9,12,1.0
9,397,1.0
9,1166,1.0
9,1295,1.0
9,16,1.0
9,401,1.0
9,1170,1.0
9,1299,1.0
9,20,1.0
9,405,1.0
9,1174,1.0
9,1303,1.0
9,24,1.0
9,713,1.0
9,842,1.0
9,1611,1.0
9,1996,1.0
9,717,1.0
9,846,1.0
9,1615,1.0
9,2000,1.0
9,721,1.0
9,850,1.0
9,1619,1.0
9,2004,1.0
9,725,1.0
9,854,1.0
9,1623,1.0
9,2008,1.0
9,3465,1.0
9,2186,1.0
9,2315,1.0
9,3084,1.0
9,3469,1.0
9,2190,1.0
9,2319,1.0
9,3088,1.0
9,3473,1.0
9,2194,1.0
9,2323,1.0
9,3092,1.0
9,3477,1.0
9,2198,1.0
9,2327,1.0
9,3096,1.0
9,3785,1.0
9,3914,1.0
9,2635,1.0
9,3020,1.0
9,3789,1.0
9,3918,1.0
9,2639,1.0
9,3024,1.0
9,3793,1.0
9,3922,1.0
9,2643,1.0
9,3028,1.0
9,3797,1.0
9,3926,1.0
9,2647,1.0
9,3032,1.0
10,1162,1.0
10,1291,1.0
10,12,1.0
10,397,1.0
10,1166,1.0
10,1295,1.0
10,16,1.0
10,401,1.0
10,1170,1.0
10,1299,1.0
10,20,1.0
10,405,1.0
10,1174,1.0
10,1303,1.0
10,24,1.0
10,409,1.0
10,1866,1.0
10,587,1.0
10,972,1.0
10,1741,1.0
10,1870,1.0
10,591,1.0
10,976,1.0
10,1745,1.0
10,1874,1.0
10,595,1.0
10,980,1.0
10,1749,1.0
10,1878,1.0
10,599,1.0
10,984,1.0
10,1753,1.0
10,2186,1.0
10,2315,1.0
10,3084,1.0
10,3469,1.0
10,2190,1.0
10,2319,1.0
10,3088,1.0
10,3473,1.0
10,2194,1.0
10,2323,1.0
10,3092,1.0
10,3477,1.0
10,2198,1.0
10,2327,1.0
10,3096,1.0
10,3481,1.0
10,2890,1.0
10,3659,1.0
10,4044,1.0
10,2765,1.0
10,2894,1.0
10,3663,1.0
10,4048,1.0
10,2769,1.0
10,2898,1.0
10,3667,1.0
10,4052,1.0
10,2773,1.0
10,2902,1.0
10,3671,1.0
10,4056,1.0
10,2777,1.0
11,1291,1.0
11,12,1.0
11,397,1.0
11,1166,1.0
11,1295,1.0
11,16,1.0
11,401,1.0
11,1170,1.0
11,1299,1.0
11,20,1.0
11,405,1.0
11,1174,1.0
11,1303,1.0
11,24,1.0
11,409,1.0
11,1178,1.0
11,1611,1.0
11,1996,1.0
11,717,1.0
11,846,1.0
11,1615,1.0
11,2000,1.0
11,721,1.0
11,850,1.0
11,1619,1.0
11,2004,1.0
11,725,1.0
11,854,1.0
11,1623,1.0
11,2008,1.0
11,729,1.0
11,858,1.0
11,2315,1.0
11,3084,1.0
11,3469,1.0
11,2190,1.0
11,2319,1.0
11,3088,1.0
11,3473,1.0
11,2194,1.0
11,2323,1.0
11,3092,1.0
11,3477,1.0
11,2198,1.0
11,2327,1.0
11,3096,1.0
11,3481,1.0
11,2202,1.0
11,2635,1.0
11,3020,1.0
11,3789,1.0
11,3918,1.0
11,2639,1.0
11,3024,1.0
11,3793,1.0
11,3922,1.0
11,2643,1.0
11,3028,1.0
11,3797,1.0
11,3926,1.0
11,2647,1.0
11,3032,1.0
11,3801,1.0
11,3930,1.0
12,12,1.0
12,397,1.0
12,1166,1.0
12,1295,1.0
12,16,1.0
12,401,1.0
12,1170,1.0
12,1299,1.0
12,20,1.0
12,405,1.0
12,1174,1.0
12,1303,1.0
12,24,1.0
12,409,1.0
12,1178,1.0
12,1307,1.0
12,972,1.0
12,1741,1.0
12,1870,1.0
12,591,1.0
12,976,1.0
12,1745,1.0
12,1874,1.0
12,595,1.0
12,980,1.0
12,1749,1.0
12,1878,1.0
12,599,1.0
12,984,1.0
12,1753,1.0
12,1882,1.0
12,603,1.0
12,3084,1.0
12,3469,1.0
12,2190,1.0
12,2319,1.0
12,3088,1.0
12,3473,1.0
12,2194,1.0
12,2323,1.0
12,3092,1.0
12,3477,1.0
12,2198,1.0
12,2327,1.0
12,3096,1.0
12,3481,1.0
12,2202,1.0
12,2331,1.0
12,4044,1.0
12,2765,1.0
12,2894,1.0
12,3663,1.0
12,4048,1.0
12,2769,1.0
12,2898,1.0
12,3667,1.0
12,4052,1.0
12,2773,1.0
12,2902,1.0
12,3671,1.0
12,4056,1.0
12,2777,1.0
12,2906,1.0
12,3675,1.0
13,397,1.0
13,1166,1.0
13,1295,1.0
13,16,1.0
13,401,1.0
13,1170,1.0
13,1299,1.0
13,20,1.0
13,405,1.0
13,1174,1.0
13,1303,1.0
13,24,1.0
13,409,1.0
13,1178,1.0
13,1307,1.0
13,28,1.0
13,717,1.0
13,846,1.0
13,1615,1.0
13,2000,1.0
13,721,1.0
13,850,1.0
13,1619,1.0
13,2004,1.0
13,725,1.0
13,854,1.0
13,1623,1.0
13,2008,1.0
13,729,1.0
13,858,1.0
13,1627,1.0
13,2012,1.0
13,3469,1.0
13,2190,1.0
13,2319,1.0
13,3088,1.0
13,3473,1.0
13,2194,1.0
13,2323,1.0
13,3092,1.0
13,3477,1.0
13,2198,1.0
13,2327,1.0
13,3096,1.0
13,3481,1.0
13,2202,1.0
13,2331,1.0
13,3100,1.0
13,3789,1.0
13,3918,1.0
13,2639,1.0
13,3024,1.0
13,3793,1.0
13,3922,1.0
13,2643,1.0
13,3028,1.0
13,3797,1.0
13,3926,1.0
13,2647,1.0
13,3032,1.0
13,3801,1.0
13,3930,1.0
13,2651,1.0
13,3036,1.0
14,1166,1.0
14,1295,1.0
14,16,1.0
14,401,1.0
14,1170,1.0
14,1299,1.0
14,20,1.0
14,405,1.0
14,1174,1.0
14,1303,1.0
14,24,1.0
14,409,1.0
14,1178,1.0
14,1307,1.0
14,28,1.0
14,413,1.0
14,1870,1.0
14,591,1.0
14,976,1.0
14,1745,1.0
14,1874,1.0
14,595,1.0
14,980,1.0
14,1749,1.0
14,1878,1.0
14,599,1.0
14,984,1.0
14,1753,1.0
14,1882,1.0
14,603,1.0
14,988,1.0
14,1757,1.0
14,2190,1.0
14,2319,1.0
14,3088,1.0
14,3473,1.0
14,2194,1.0
14,2323,1.0
14,3092,1.0
14,3477,1.0
14,2198,1.0
14,2327,1.0
14,3096,1.0
14,3481,1.0
14,2202,1.0
14,2331,1.0
14,3100,1.0
14,3485,1.0
14,2894,1.0
14,3663,1.0
14,4048,1.0
14,2769,1.0
14,2898,1.0
14,3667,1.0
14,4052,1.0
14,2773,1.0
14,2902,1.0
14,3671,1.0
14,4056,1.0
14,2777,1.0
14,2906,1.0
14,3675,1.0
14,4060,1.0
14,2781,1.0
15,1295,1.0
15,16,1.0
15,401,1.0
15,1170,1.0
15,1299,1.0
15,20,1.0
15,405,1.0
15,1174,1.0
15,1303,1.0
15,24,1.0
15,409,1.0
15,1178,1.0
15,1307,1.0
15,28,1.0
15,413,1.0
15,1182,1.0
15,1615,1.0
15,2000,1.0
15,721,1.0
15,850,1.0
15,1619,1.0
15,2004,1.0
15,725,1.0
15,854,1.0
15,1623,1.0
15,2008,1.0
15,729,1.0
15,858,1.0
15,1627,1.0
15,2012,1.0
15,733,1.0
15,862,1.0
15,2319,1.0
15,3088,1.0
15,3473,1.0
15,2194,1.0
15,2323,1.0
15,3092,1.0
15,3477,1.0
15,2198,1.0
15,2327,1.0
15,3096,1.0
15,3481,1.0
15,2202,1.0
15,2331,1.0
15,3100,1.0
15,3485,1.0
15,2206,1.0
15,2639,1.0
15,3024,1.0
15,3793,1.0
15,3922,1.0
15,2643,1.0
15,3028,1.0
15,3797,1.0
15,3926,1.0
15,2647,1.0
15,3032,1.0
15,3801,1.0
15,3930,1.0
15,2651,1.0
15,3036,1.0
15,3805,1.0
15,3934,1.0
16,16,1.0
16,401,1.0
16,1170,1.0
16,1299,1.0
16,20,1.0
16,405,1.0
16,1174,1.0
16,1303,1.0
16,24,1.0
16,409,1.0
16,1178,1.0
16,1307,1.0
16,28,1.0
16,413,1.0
16,1182,1.0
16,1311,1.0
16,976,1.0
16,1745,1.0
16,1874,1.0
16,595,1.0
16,980,1.0
16,1749,1.0
16,1878,1.0
16,599,1.0
16,984,1.0
16,1753,1.0
16,1882,1.0
16,603,1.0
16,988,1.0
16,1757,1.0
16,1886,1.0
16,607,1.0
16,3088,1.0
16,3473,1.0
16,2194,1.0
16,2323,1.0
16,3092,1.0
16,3477,1.0
16,2198,1.0
16,2327,1.0
16,3096,1.0
16,3481,1.0
16,2202,1.0
16,2331,1.0
16,3100,1.0
16,3485,1.0
16,2206,1.0
16,2335,1.0
16,4048,1.0
16,2769,1.0
16,2898,1.0
16,3667,1.0
16,4052,1.0
16,2773,1.0
16,2902,1.0
16,3671,1.0
16,4056,1.0
16,2777,1.0
16,2906,1.0
16,3675,1.0
16,4060,1.0
16,2781,1.0
16,2910,1.0
16,3679,1.0
17,401,1.0
17,1170,1.0
17,1299,1.0
17,20,1.0
17,405,1.0
17,1174,1.0
17,1303,1.0
17,24,1.0
17,409,1.0
17,1178,1.0
17,1307,1.0
17,28,1.0
17,413,1.0
17,1182,1.0
17,1311,1.0
17,32,1.0
17,721,1.0
17,850,1.0
17,1619,1.0
17,2004,1.0
17,725,1.0
17,854,1.0
17,1623,1.0
17,2008,1.0
17,729,1.0
17,858,1.0
17,1627,1.0
17,2012,1.0
17,733,1.0
17,862,1.0
17,1631,1.0
17,2016,1.0
17,3473,1.0
17,2194,1.0
17,2323,1.0
17,3092,1.0
17,3477,1.0
17,2198,1.0
17,2327,1.0
17,3096,1.0
17,3481,1.0
17,2202,1.0
17,2331,1.0
17,3100,1.0
17,3485,1.0
17,2206,1.0
17,2335,1.0
17,3104,1.0
17,3793,1.0
17,3922,1.0
17,2643,1.0
17,3028,1.0
17,3797,1.0
17,3926,1.0
17,2647,1.0
17,3032,1.0
17,3801,1.0
17,3930,1.0
17,2651,1.0
17,3036,1.0
17,3805,1.0
17,3934,1.0
17,2655,1.0
17,3040,1.0
18,1170,1.0
18,1299,1.0
18,20,1.0
18,405,1.0
18,1174,1.0
18,1303,1.0
18,24,1.0
18,409,1.0
18,1178,1.0
18,1307,1.0
18,28,1.0
18,413,1.0
18,1182,1.0
18,1311,1.0
18,32,1.0
18,417,1.0
18,1874,1.0
18,595,1.0
18,980,1.0
18,1749,1.0
18,1878,1.0
18,599,1.0
18,984,1.0
18,1753,1.0
18,1882,1.0
18,603,1.0
18,988,1.0
18,1757,1.0
18,1886,1.0
18,607,1.0
18,992,1.0
18,1761,1.0
18,2194,1.0
18,2323,1.0
18,3092,1.0
18,3477,1.0
18,2198,1.0
18,2327,1.0
18,3096,1.0
18,3481,1.0
18,2202,1.0
18,2331,1.0
18,3100,1.0
18,3485,1.0
18,2206,1.0
18,2335,1.0
18,3104,1.0
18,3489,1.0
18,2898,1.0
18,3667,1.0
18,4052,1.0
18,2773,1.0
18,2902,1.0
18,3671,1.0
18,4056,1.0
18,2777,1.0
18,2906,1.0
18,3675,1.0
18,4060,1.0
18,2781,1.0
18,2910,1.0
18,3679,1.0
18,4064,1.0
18,2785,1.0
19,1299,1.0
19,20,1.0
19,405,1.0
19,1174,1.0
19,1303,1.0
19,24,1.0
19,409,1.0
19,1178,1.0
19,1307,1.0
19,28,1.0
19,413,1.0
19,1182,1.0
19,1311,1.0
19,32,1.0
19,417,1.0
19,1186,1.0
19,1619,1.0
19,2004,1.0
19,725,1.0
19,854,1.0
19,1623,1.0
19,2008,1.0
19,729,1.0
19,858,1.0
19,1627,1.0
19,2012,1.0
19,733,1.0
19,862,1.0
19,1631,1.0
19,2016,1.0
19,737,1.0
19,866,1.0
19,2323,1.0
19,3092,1.0
19,3477,1.0
19,2198,1.0
19,2327,1.0
19,3096,1.0
19,3481,1.0
19,2202,1.0
19,2331,1.0
19,3100,1.0
19,3485,1.0
19,2206,1.0
19,2335,1.0
19,3104,1.0
19,3489,1.0
19,2210,1.0
19,2643,1.0
19,3028,1.0
19,3797,1.0
19,3926,1.0
19,2647,1.0
19,3032,1.0
19,3801,1.0
19,3930,1.0
19,2651,1.0
19,3036,1.0
19,3805,1.0
19,3934,1.0
19,2655,1.0
19,3040,1.0
19,3809,1.0
19,3938,1.0
20,20,1.0
20,405,1.0
20,1174,1.0
20,1303,1.0
20,24,1.0
20,409,1.0
20,1178,1.0
20,1307,1.0
20,28,1.0
20,413,1.0
20,1182,1.0
20,1311,1.0
20,32,1.0
20,417,1.0
20,1186,1.0
20,1315,1.0
20,980,1.0
20,1749,1.0
20,1878,1.0
20,599,1.0
20,984,1.0
20,1753,1.0
20,1882,1.0
20,603,1.0
20,988,1.0
20,1757,1.0
20,1886,1.0
20,607,1.0
20,992,1.0
20,1761,1.0
20,1890,1.0
20,611,1.0
20,3092,1.0
20,3477,1.0
20,2198,1.0
20,2327,1.0
20,3096,1.0
20,3481,1.0
20,2202,1.0
20,2331,1.0
20,3100,1.0
20,3485,1.0
20,2206,1.0
20,2335,1.0
20,3104,1.0
20,3489,1.0
20,2210,1.0
20,2339,1.0
20,4052,1.0
20,2773,1.0
20,2902,1.0
20,3671,1.0
20,4056,1.0
20,2777,1.0
20,2906,1.0
20,3675,1.0
20,4060,1.0
20,2781,1.0
20,2910,1.0
20,3679,1.0
20,4064,1.0
20,2785,1.0
20,2914,1.0
20,3683,1.0
21,405,1.0
21,1174,1.0
21,1303,1.0
21,24,1.0
21,409,1.0
21,1178,1.0
21,1307,1.0
21,28,1.0
21,413,1.0
21,1182,1.0
21,1311,1.0
21,32,1.0
21,417,1.0
21,1186,1.0
21,1315,1.0
21,36,1.0
21,725,1.0
21,854,1.0
21,1623,1.0
21,2008,1.0
21,729,1.0
21,858,1.0
21,1627,1.0
21,2012,1.0
21,733,1.0
21,862,1.0
21,1631,1.0
21,2016,1.0
21,737,1.0
21,866,1.0
21,1635,1.0
21,2020,1.0
21,3477,1.0
21,2198,1.0
21,2327,1.0
21,3096,1.0
21,3481,1.0
21,2202,1.0
21,2331,1.0
21,3100,1.0
21,3485,1.0
21,2206,1.0
21,2335,1.0
21,3104,1.0
21,3489,1.0
21,2210,1.0
21,2339,1.0
21,3108,1.0
21,3797,1.0
21,3926,1.0
21,2647,1.0
21,3032,1.0
21,3801,1.0
21,3930,1.0
21,2651,1.0
21,3036,1.0
21,3805,1.0
21,3934,1.0
21,2655,1.0
21,3040,1.0
21,3809,1.0
21,3938,1.0
21,2659,1.0
21,3044,1.0
22,1174,1.0
22,1303,1.0
22,24,1.0
22,409,1.0
22,1178,1.0
22,1307,1.0
22,28,1.0
22,413,1.0
22,1182,1.0
22,1311,1.0
22,32,1.0
22,417,1.0
22,1186,1.0
22,1315,1.0
22,36,1.0
22,421,1.0
22,1878,1.0
22,599,1.0
22,984,1.0
22,1753,1.0
22,1882,1.0
22,603,1.0
22,988,1.0
22,1757,1.0
22,1886,1.0
22,607,1.0
22,992,1.0
22,1761,1.0
22,1890,1.0
22,611,1.0
22,996,1.0
22,1765,1.0
22,2198,1.0
22,2327,1.0
22,3096,1.0
22,3481,1.0
22,2202,1.0
22,2331,1.0
22,3100,1.0
22,3485,1.0
22,2206,1.0
22,2335,1.0
22,3104,1.0
22,3489,1.0
22,2210,1.0
22,2339,1.0
22,3108,1.0
22,3493,1.0
22,2902,1.0
22,3671,1.0
22,4056,1.0
22,2777,1.0
22,2906,1.0
22,3675,1.0
22,4060,1.0
22,2781,1.0
22,2910,1.0
22,3679,1.0
22,4064,1.0
22,2785,1.0
22,2914,1.0
22,3683,1.0
22,4068,1.0
22,2789,1.0
23,1303,1.0
23,24,1.0
23,409,1.0
23,1178,1.0
23,1307,1.0
23,28,1.0
23,413,1.0
23,1182,1.0
23,1311,1.0
23,32,1.0
23,417,1.0
23,1186,1.0
23,1315,1.0
23,36,1.0
23,421,1.0
23,1190,1.0
23,1623,1.0
23,2008,1.0
23,729,1.0
23,858,1.0
23,1627,1.0
23,2012,1.0
23,733,1.0
23,862,1.0
23,1631,1.0
23,2016,1.0
23,737,1.0
23,866,1.0
23,1635,1.0
23,2020,1.0
23,741,1.0
23,870,1.0
23,2327,1.0
23,3096,1.0
23,3481,1.0
23,2202,1.0
23,2331,1.0
23,3100,1.0
23,3485,1.0
23,2206,1.0
23,2335,1.0
23,3104,1.0
23,3489,1.0
23,2210,1.0
23,2339,1.0
23,3108,1.0
23,3493,1.0
23,2214,1.0
23,2647,1.0
23,3032,1.0
23,3801,1.0
23,3930,1.0
23,2651,1.0
23,3036,1.0
23,3805,1.0
23,3934,1.0
23,2655,1.0
23,3040,1.0
23,3809,1.0
23,3938,1.0
23,2659,1.0
23,3044,1.0
23,3813,1.0
23,3942,1.0
24,24,1.0
24,409,1.0
24,1178,1.0
24,1307,1.0
24,28,1.0
24,413,1.0
24,1182,1.0
24,1311,1.0
24,32,1.0
24,417,1.0
24,1186,1.0
24,1315,1.0
24,36,1.0
24,421,1.0
24,1190,1.0
24,1319,1.0
24,984,1.0
24,1753,1.0
24,1882,1.0
24,603,1.0
24,988,1.0
24,1757,1.0
24,1886,1.0
24,607,1.0
24,992,1.0
24,1761,1.0
24,1890,1.0
24,611,1.0
24,996,1.0
24,1765,1.0
24,1894,1.0
24,615,1.0
24,3096,1.0
24,3481,1.0
24,2202,1.0
24,2331,1.0
24,3100,1.0
24,3485,1.0
24,2206,1.0
24,2335,1.0
24,3104,1.0
24,3489,1.0
24,2210,1.0
24,2339,1.0
24,3108,1.0
24,3493,1.0
24,2214,1.0
24,2343,1.0
24,4056,1.0
24,2777,1.0
24,2906,1.0
24,3675,1.0
24,4060,1.0
24,2781,1.0
24,2910,1.0
24,3679,1.0
24,4064,1.0
24,2785,1.0
24,2914,1.0
24,3683,1.0
24,4068,1.0
24,2789,1.0
